date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
2017-09-29,33.02,33.18,32.69,19.64,1068186,18.7573,18.4188,19.4613,18.408,17.9492
2017-10-06,32.76,33.17,32.37,19.36,1247985,18.8495,18.4883,19.4414,18.3951,17.9949
2017-10-13,32.49,33.18,32.34,19.55,756448,18.9568,18.5667,19.4271,18.4385,18.0517
2017-10-20,33.11,33.18,32.55,19.43,687982,19.0302,18.631,19.4074,18.4853,18.1229
2017-10-27,32.72,32.98,31.58,18.93,767269,19.0146,18.653,19.3809,18.5202,18.192
2017-11-03,32.16,33.45,32.02,19.84,1140477,19.1422,18.7412,19.361,18.6061,18.2895
2017-11-10,33.46,34.2,33.43,20.01,1636762,19.2757,18.8352,19.342,18.7198,18.3825
2017-11-17,33.32,33.5,32.31,19.33,1589958,19.2845,18.8721,19.323,18.8124,18.4414
2017-11-24,32.38,33.14,32.26,19.58,555384,19.3295,18.9243,19.3059,18.9294,18.4907
2017-12-01,32.97,33.27,32.52,19.61,892339,19.3729,18.9752,19.2907,19.0266,18.5251
2017-12-08,32.93,33.06,32.55,19.45,819600,19.3851,19.0105,19.2749,19.1139,18.551
2017-12-15,32.89,33.49,32.35,19.4,1227220,19.388,19.0397,19.2534,19.1775,18.5716
2017-12-22,33.05,33.42,32.13,19.74,1019669,19.4426,19.0918,19.2333,19.2298,18.5891
2017-12-29,33.23,33.57,32.57,19.71,609247,19.4842,19.1378,19.2123,19.299,18.6055
2018-01-05,33.19,34.97,33.16,20.77,575287,19.6821,19.2587,19.1956,19.4271,18.6418
2018-01-12,34.66,36.05,34.44,21.4,2255111,19.9464,19.4173,19.1835,19.5876,18.7104
2018-01-19,36.55,36.69,36.22,21.64,808715,20.2066,19.5818,19.1686,19.7466,18.7868
2018-01-26,36.45,37.48,36.38,22.11,774893,20.4998,19.7693,19.1544,19.9142,18.8795
2018-02-02,36.72,36.85,35.42,21.09,1054334,20.5908,19.8672,19.1359,20.0098,18.9586
2018-02-09,35.18,35.31,32.25,19.62,1524523,20.442,19.8492,19.1088,20.0116,19.0069
2018-02-16,33.05,34.01,32.82,20.12,755220,20.3929,19.8695,19.08,20.0356,19.043
2018-02-23,33.81,34.25,33.35,20.34,648768,20.3843,19.9041,19.0546,20.0846,19.0927
2018-03-02,34.09,34.29,32.76,19.74,1821771,20.2847,19.8917,19.0242,20.0941,19.122
2018-03-09,32.69,33.61,32.65,19.93,1432252,20.2297,19.8943,18.9932,20.1188,19.1515
2018-03-16,33.76,34.78,33.75,20.6,825533,20.2873,19.9469,18.9683,20.2025,19.1905
2018-03-23,34.74,35.35,34.25,20.73,1021732,20.3561,20.0052,18.9411,20.2471,19.2371
2018-03-29,35.37,35.45,34.7,20.98,858843,20.4527,20.0777,18.9162,20.2958,19.2946
2018-04-06,35.21,36.75,34.5,21.66,754351,20.6387,20.195,18.8919,20.4122,19.3717
2018-04-13,36.91,38.13,36.78,22.64,1292062,20.9467,20.3762,18.8694,20.5654,19.4642
2018-04-20,38.35,39.57,38.2,23.22,1641904,21.297,20.5871,18.8473,20.746,19.5533
2018-04-27,39.07,39.48,38.34,23.23,776810,21.5943,20.7829,18.8248,20.9349,19.639
2018-05-04,38.74,39.31,38.57,23.28,987129,21.8531,20.9676,18.7999,21.1285,19.7123
2018-05-11,39.22,39.83,38.37,23.38,1996454,22.0886,21.1466,18.7818,21.3105,19.8064
2018-05-18,39.61,40.15,38.66,23.08,2647181,22.2412,21.2898,18.7611,21.4789,19.898
2018-05-25,37.87,38.1,35.67,21.67,1065197,22.1539,21.3183,18.7341,21.5241,19.9669
2018-06-01,34.95,36.8,34.58,22.1,1816336,22.146,21.3764,18.7157,21.5592,20.0464
2018-06-08,36.68,37.15,35.75,21.75,955380,22.0845,21.4037,18.6986,21.5646,20.1266
2018-06-15,36.52,37.27,35.86,21.73,1102328,22.0296,21.4278,18.6813,21.5454,20.2115
2018-06-22,35.66,36.55,35.03,21.99,1313857,22.0232,21.4692,18.6662,21.5902,20.3066
2018-06-29,36.23,37.37,35.64,22.42,1200006,22.0846,21.5399,18.6509,21.7302,20.4017
2018-07-06,36.87,38.11,36.53,22.94,568752,22.2165,21.6437,18.6362,21.8711,20.5064
2018-07-13,38.44,38.95,37.68,23.02,972133,22.3402,21.7457,18.6272,22.0053,20.6041
2018-07-20,37.84,37.86,37.3,22.79,608170,22.4096,21.8232,18.617,22.158,20.686
2018-07-27,37.78,38.39,37.53,22.82,970994,22.472,21.8966,18.6083,22.3024,20.7757
2018-08-03,38.04,38.85,37.25,22.74,1362418,22.5127,21.9589,18.6055,22.4091,20.8663
2018-08-10,37.31,38.54,36.39,22.01,640135,22.4357,21.9628,18.6058,22.4729,20.9428
2018-08-17,36.51,36.85,35.42,21.87,900336,22.3491,21.9561,18.6071,22.5174,21.0111
2018-08-24,36.67,38.21,36.57,22.96,622378,22.4431,22.0305,18.613,22.5823,21.0951
2018-08-31,38.15,38.53,37.0,22.44,523617,22.4428,22.0609,18.6143,22.5723,21.1603
2018-09-07,37.43,37.72,36.14,21.98,472253,22.3718,22.055,18.6171,22.5102,21.2082
2018-09-14,36.87,37.66,36.35,22.49,571284,22.3899,22.0872,18.6229,22.4732,21.2651
2018-09-21,37.79,38.74,37.52,23.27,496846,22.5259,22.1751,18.6279,22.4731,21.3435
2018-09-28,38.29,39.16,37.57,23.33,880789,22.65,22.2608,18.6423,22.4705,21.4192
2018-10-05,37.95,38.17,37.3,23.28,3704049,22.7464,22.3361,18.6594,22.4803,21.496
